Population,Latitude,Longitude,Year_start,Year_end,Sex ,Cross_Line,Line,Starvation_resistance
Mossman,-16.467,145.37,2000,2000,female,Line,1,36
Mossman,-16.467,145.37,2000,2000,female,Line,1,42
Mossman,-16.467,145.37,2000,2000,female,Line,1,36
Mossman,-16.467,145.37,2000,2000,female,Line,1,54
Mossman,-16.467,145.37,2000,2000,female,Line,9,54
Mossman,-16.467,145.37,2000,2000,female,Line,9,30
Mossman,-16.467,145.37,2000,2000,female,Line,9,36
Mossman,-16.467,145.37,2000,2000,female,Line,9,42
Mossman,-16.467,145.37,2000,2000,female,Line,14,48
Mossman,-16.467,145.37,2000,2000,female,Line,14,68
Mossman,-16.467,145.37,2000,2000,female,Line,14,90
Mossman,-16.467,145.37,2000,2000,female,Line,14,60
Mossman,-16.467,145.37,2000,2000,female,Line,50,54
Mossman,-16.467,145.37,2000,2000,female,Line,50,48
Mossman,-16.467,145.37,2000,2000,female,Line,50,48
Mossman,-16.467,145.37,2000,2000,female,Line,50,
Mossman,-16.467,145.37,2000,2000,female,Line,52,54
Mossman,-16.467,145.37,2000,2000,female,Line,52,48
Mossman,-16.467,145.37,2000,2000,female,Line,52,54
Mossman,-16.467,145.37,2000,2000,female,Line,52,42
Mossman,-16.467,145.37,2000,2000,female,Line,54,60
Mossman,-16.467,145.37,2000,2000,female,Line,54,
Mossman,-16.467,145.37,2000,2000,female,Line,54,48
Mossman,-16.467,145.37,2000,2000,female,Line,54,60
Mossman,-16.467,145.37,2000,2000,male,Line,1,48
Mossman,-16.467,145.37,2000,2000,male,Line,1,60
Mossman,-16.467,145.37,2000,2000,male,Line,1,42
Mossman,-16.467,145.37,2000,2000,male,Line,1,54
Mossman,-16.467,145.37,2000,2000,male,Line,9,42
Mossman,-16.467,145.37,2000,2000,male,Line,9,18
Mossman,-16.467,145.37,2000,2000,male,Line,14,36
Mossman,-16.467,145.37,2000,2000,male,Line,14,42
Mossman,-16.467,145.37,2000,2000,male,Line,14,30
Mossman,-16.467,145.37,2000,2000,male,Line,14,36
Mossman,-16.467,145.37,2000,2000,male,Line,50,48
Mossman,-16.467,145.37,2000,2000,male,Line,50,42
Mossman,-16.467,145.37,2000,2000,male,Line,50,48
Mossman,-16.467,145.37,2000,2000,male,Line,50,42
Mossman,-16.467,145.37,2000,2000,male,Line,52,72
Mossman,-16.467,145.37,2000,2000,male,Line,52,42
Mossman,-16.467,145.37,2000,2000,male,Line,52,48
Mossman,-16.467,145.37,2000,2000,male,Line,52,48
Mossman,-16.467,145.37,2000,2000,male,Line,54,54
Mossman,-16.467,145.37,2000,2000,male,Line,54,48
Mossman,-16.467,145.37,2000,2000,male,Line,54,42
Mossman,-16.467,145.37,2000,2000,male,Line,54,24
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,54
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,72
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,60
Innisfail,-17.500,145.7,2000,2000,female,Cross,67,36
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,24
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,36
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,36
Innisfail,-17.500,145.7,2000,2000,female,Cross,69,42
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,72
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,54
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,54
Innisfail,-17.500,145.7,2000,2000,female,Cross,71,36
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,24
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,18
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,48
Innisfail,-17.500,145.7,2000,2000,male,Cross,67,54
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,42
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,36
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,42
Innisfail,-17.500,145.7,2000,2000,male,Cross,69,42
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,54
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,60
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,54
Innisfail,-17.500,145.7,2000,2000,male,Cross,71,54
Innisfail,-17.500,145.7,2000,2000,female,Line,8,42
Innisfail,-17.500,145.7,2000,2000,female,Line,8,54
Innisfail,-17.500,145.7,2000,2000,female,Line,8,54
Innisfail,-17.500,145.7,2000,2000,female,Line,8,36
Innisfail,-17.500,145.7,2000,2000,female,Line,10,36
Innisfail,-17.500,145.7,2000,2000,female,Line,10,24
Innisfail,-17.500,145.7,2000,2000,female,Line,10,54
Innisfail,-17.500,145.7,2000,2000,female,Line,13,54
Innisfail,-17.500,145.7,2000,2000,female,Line,13,24
Innisfail,-17.500,145.7,2000,2000,female,Line,13,48
Innisfail,-17.500,145.7,2000,2000,female,Line,13,48
Innisfail,-17.500,145.7,2000,2000,male,Line,8,42
Innisfail,-17.500,145.7,2000,2000,male,Line,8,60
Innisfail,-17.500,145.7,2000,2000,male,Line,8,60
Innisfail,-17.500,145.7,2000,2000,male,Line,8,
Innisfail,-17.500,145.7,2000,2000,male,Line,10,42
Innisfail,-17.500,145.7,2000,2000,male,Line,10,48
Innisfail,-17.500,145.7,2000,2000,male,Line,10,42
Innisfail,-17.500,145.7,2000,2000,male,Line,10,36
Innisfail,-17.500,145.7,2000,2000,male,Line,13,54
Innisfail,-17.500,145.7,2000,2000,male,Line,13,48
Innisfail,-17.500,145.7,2000,2000,male,Line,13,42
Innisfail,-17.500,145.7,2000,2000,male,Line,13,54
Bowen,-20.000,148.20,2000,2000,female,Cross,25,30
Bowen,-20.000,148.20,2000,2000,female,Cross,25,42
Bowen,-20.000,148.20,2000,2000,female,Cross,25,54
Bowen,-20.000,148.20,2000,2000,female,Cross,25,68
Bowen,-20.000,148.20,2000,2000,female,Cross,27,54
Bowen,-20.000,148.20,2000,2000,female,Cross,27,72
Bowen,-20.000,148.20,2000,2000,female,Cross,27,60
Bowen,-20.000,148.20,2000,2000,female,Cross,27,48
Bowen,-20.000,148.20,2000,2000,female,Cross,29,42
Bowen,-20.000,148.20,2000,2000,female,Cross,29,48
Bowen,-20.000,148.20,2000,2000,female,Cross,29,36
Bowen,-20.000,148.20,2000,2000,female,Cross,29,60
Bowen,-20.000,148.20,2000,2000,male,Cross,27,54
Bowen,-20.000,148.20,2000,2000,male,Cross,27,54
Bowen,-20.000,148.20,2000,2000,male,Cross,27,60
Bowen,-20.000,148.20,2000,2000,male,Cross,27,54
Bowen,-20.000,148.20,2000,2000,male,Cross,29,48
Bowen,-20.000,148.20,2000,2000,male,Cross,29,54
Bowen,-20.000,148.20,2000,2000,male,Cross,29,68
Bowen,-20.000,148.20,2000,2000,male,Cross,29,60
Bowen,-20.000,148.20,2000,2000,female,Line,3,
Bowen,-20.000,148.20,2000,2000,female,Line,3,42
Bowen,-20.000,148.20,2000,2000,female,Line,3,54
Bowen,-20.000,148.20,2000,2000,female,Line,3,48
Bowen,-20.000,148.20,2000,2000,female,Line,16,42
Bowen,-20.000,148.20,2000,2000,female,Line,16,48
Bowen,-20.000,148.20,2000,2000,female,Line,16,54
Bowen,-20.000,148.20,2000,2000,female,Line,16,48
Bowen,-20.000,148.20,2000,2000,male,Line,3,72
Bowen,-20.000,148.20,2000,2000,male,Line,3,54
Bowen,-20.000,148.20,2000,2000,male,Line,3,54
Bowen,-20.000,148.20,2000,2000,male,Line,3,54
Bowen,-20.000,148.20,2000,2000,male,Line,16,48
Bowen,-20.000,148.20,2000,2000,male,Line,16,54
Bowen,-20.000,148.20,2000,2000,male,Line,16,48
Bowen,-20.000,148.20,2000,2000,male,Line,16,42
Sarina,-21.367,149.28,2000,2000,female,Line,3,30
Sarina,-21.367,149.28,2000,2000,female,Line,3,48
Sarina,-21.367,149.28,2000,2000,female,Line,3,30
Sarina,-21.367,149.28,2000,2000,female,Line,3,54
Sarina,-21.367,149.28,2000,2000,female,Line,6,24
Sarina,-21.367,149.28,2000,2000,female,Line,6,42
Sarina,-21.367,149.28,2000,2000,female,Line,6,54
Sarina,-21.367,149.28,2000,2000,female,Line,6,36
Sarina,-21.367,149.28,2000,2000,female,Line,8,42
Sarina,-21.367,149.28,2000,2000,female,Line,8,54
Sarina,-21.367,149.28,2000,2000,female,Line,8,54
Sarina,-21.367,149.28,2000,2000,female,Line,8,48
Sarina,-21.367,149.28,2000,2000,female,Line,73,42
Sarina,-21.367,149.28,2000,2000,female,Line,73,54
Sarina,-21.367,149.28,2000,2000,female,Line,73,36
Sarina,-21.367,149.28,2000,2000,female,Line,73,48
Sarina,-21.367,149.28,2000,2000,female,Line,75,90
Sarina,-21.367,149.28,2000,2000,female,Line,75,42
Sarina,-21.367,149.28,2000,2000,female,Line,75,42
Sarina,-21.367,149.28,2000,2000,female,Line,75,42
Sarina,-21.367,149.28,2000,2000,female,Line,77,42
Sarina,-21.367,149.28,2000,2000,female,Line,77,36
Sarina,-21.367,149.28,2000,2000,female,Line,77,36
Sarina,-21.367,149.28,2000,2000,female,Line,77,54
Sarina,-21.367,149.28,2000,2000,female,Line,77,42
Sarina,-21.367,149.28,2000,2000,male,Line,3,60
Sarina,-21.367,149.28,2000,2000,male,Line,3,48
Sarina,-21.367,149.28,2000,2000,male,Line,3,54
Sarina,-21.367,149.28,2000,2000,male,Line,3,36
Sarina,-21.367,149.28,2000,2000,male,Line,6,48
Sarina,-21.367,149.28,2000,2000,male,Line,6,48
Sarina,-21.367,149.28,2000,2000,male,Line,6,48
Sarina,-21.367,149.28,2000,2000,male,Line,6,42
Sarina,-21.367,149.28,2000,2000,male,Line,8,42
Sarina,-21.367,149.28,2000,2000,male,Line,8,42
Sarina,-21.367,149.28,2000,2000,male,Line,8,54
Sarina,-21.367,149.28,2000,2000,male,Line,8,42
Sarina,-21.367,149.28,2000,2000,male,Line,30,36
Sarina,-21.367,149.28,2000,2000,male,Line,30,36
Sarina,-21.367,149.28,2000,2000,male,Line,30,42
Sarina,-21.367,149.28,2000,2000,male,Line,30,48
Sarina,-21.367,149.28,2000,2000,male,Line,73,42
Sarina,-21.367,149.28,2000,2000,male,Line,73,60
Sarina,-21.367,149.28,2000,2000,male,Line,73,54
Sarina,-21.367,149.28,2000,2000,male,Line,73,54
Sarina,-21.367,149.28,2000,2000,male,Line,75,54
Sarina,-21.367,149.28,2000,2000,male,Line,75,48
Sarina,-21.367,149.28,2000,2000,male,Line,75,60
Sarina,-21.367,149.28,2000,2000,male,Line,75,48
Sarina,-21.367,149.28,2000,2000,male,Line,77,48
Sarina,-21.367,149.28,2000,2000,male,Line,77,42
Sarina,-21.367,149.28,2000,2000,male,Line,77,42
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,48
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,36
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,42
Rockhampton,-23.400,150.48,2000,2000,female,Cross,22,36
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,30
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,36
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,42
Rockhampton,-23.400,150.48,2000,2000,female,Cross,24,48
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,42
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,42
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,30
Rockhampton,-23.400,150.48,2000,2000,male,Cross,22,30
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,48
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,42
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,48
Rockhampton,-23.400,150.48,2000,2000,male,Cross,24,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,30
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,30
Rockhampton,-23.400,150.48,2000,2000,female,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,48
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,3,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,4,68
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,60
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,8,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,60
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,90
Rockhampton,-23.400,150.48,2000,2000,female,Line,11,
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,26,30
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,36
Rockhampton,-23.400,150.48,2000,2000,female,Line,28,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,42
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,54
Rockhampton,-23.400,150.48,2000,2000,female,Line,30,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,2,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,3,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,4,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,8,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,11,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,42
Rockhampton,-23.400,150.48,2000,2000,male,Line,14,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,30
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,36
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,48
Rockhampton,-23.400,150.48,2000,2000,male,Line,26,42
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,48
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,female,Cross,65,48
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,36
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,42
Gladstone,-23.883,151.26,2000,2000,male,Cross,65,30
Gladstone,-23.883,151.26,2000,2000,female,Line,1,54
Gladstone,-23.883,151.26,2000,2000,female,Line,1,
Gladstone,-23.883,151.26,2000,2000,female,Line,1,68
Gladstone,-23.883,151.26,2000,2000,female,Line,1,54
Gladstone,-23.883,151.26,2000,2000,female,Line,2,36
Gladstone,-23.883,151.26,2000,2000,female,Line,2,48
Gladstone,-23.883,151.26,2000,2000,female,Line,2,36
Gladstone,-23.883,151.26,2000,2000,female,Line,2,48
Gladstone,-23.883,151.26,2000,2000,female,Line,3,42
Gladstone,-23.883,151.26,2000,2000,female,Line,3,60
Gladstone,-23.883,151.26,2000,2000,female,Line,3,36
Gladstone,-23.883,151.26,2000,2000,female,Line,3,42
Gladstone,-23.883,151.26,2000,2000,male,Line,1,42
Gladstone,-23.883,151.26,2000,2000,male,Line,1,48
Gladstone,-23.883,151.26,2000,2000,male,Line,1,36
Gladstone,-23.883,151.26,2000,2000,male,Line,1,48
Gladstone,-23.883,151.26,2000,2000,male,Line,2,36
Gladstone,-23.883,151.26,2000,2000,male,Line,2,54
Gladstone,-23.883,151.26,2000,2000,male,Line,2,42
Gladstone,-23.883,151.26,2000,2000,male,Line,2,42
Gladstone,-23.883,151.26,2000,2000,male,Line,3,42
Gladstone,-23.883,151.26,2000,2000,male,Line,3,30
Gladstone,-23.883,151.26,2000,2000,male,Line,3,42
Gladstone,-23.883,151.26,2000,2000,male,Line,3,36
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,30
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,36
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,60
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,12,60
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,30
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,48
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,48
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,17,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,42
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,54
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,48
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,46,
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,72
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,female,Line,48,54
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,36
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,2,36
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,12,24
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,12,42
Miriam_Vale,-24.330,151.58,2000,2000,male,Line,12,
